"fl_date","mkt_unique_carrier","branded_code_share","mkt_carrier","mkt_carrier_fl_num","op_unique_carrier","tail_num","op_carrier_fl_num","origin_airport_id","origin","origin_city_name","dest_airport_id","dest","dest_city_name","crs_dep_time","dep_time","dep_delay","taxi_out","wheels_off","wheels_on","taxi_in","crs_arr_time","arr_time","arr_delay","cancelled","cancellation_code","diverted","dup","crs_elapsed_time","actual_elapsed_time","air_time","flights","distance","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","first_dep_time","total_add_gtime","longest_add_gtime","no_name"
"2018-02-01","AA","AA_CODESHARE","AA",3366,"MQ","N233NN",3366,15016,"STL","St. Louis, MO",13930,"ORD","Chicago, IL",1145,1144,-1,10,1154,1252,11,1305,1303,-2,0,NULL,0,"N",80,79,58,1,258,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-12-04","AA","AA_CODESHARE","AA",4231,"AX","N836HK",4231,14122,"PIT","Pittsburgh, PA",11278,"DCA","Washington, DC",1505,NULL,NULL,NULL,NULL,NULL,NULL,1618,NULL,NULL,1,"A",0,"N",73,NULL,NULL,1,204,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-10-01","AA","AA_CODESHARE","AA",2863,"EV","N613QX",2863,11298,"DFW","Dallas/Fort Worth, TX",11980,"GRI","Grand Island, NE",2120,2115,-5,19,2134,2251,4,2303,2255,-8,0,NULL,0,"N",103,100,77,1,561,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-07-01","AA","AA_CODESHARE","AA",4893,"PT","N643AE",4893,10721,"BOS","Boston, MA",13230,"MDT","Harrisburg, PA",1915,NULL,NULL,NULL,NULL,NULL,NULL,2057,NULL,NULL,1,"A",0,"N",102,NULL,NULL,1,335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-09-01","AA","AA_CODESHARE","AA",3141,"OO","N712SK",3141,13930,"ORD","Chicago, IL",12339,"IND","Indianapolis, IN",1455,NULL,NULL,NULL,NULL,NULL,NULL,1701,NULL,NULL,1,"B",0,"N",66,NULL,NULL,1,177,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-06-01","AA","AA_CODESHARE","AA",3315,"MQ","N655AE",3315,12992,"LIT","Little Rock, AR",11298,"DFW","Dallas/Fort Worth, TX",852,843,-9,10,853,942,9,1025,951,-34,0,NULL,0,"N",93,68,49,1,304,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-01-01","AA","AA_CODESHARE","AA",5476,"OH","N503AE",5476,11278,"DCA","Washington, DC",13244,"MEM","Memphis, TN",1621,1855,154,12,1907,2009,3,1749,2012,143,0,"",0,"N",148,137,122,1,762,111,0,0,0,32,"",NULL,NULL,NULL
"2018-04-02","AA","AA_CODESHARE","AA",4315,"AX","N835HK",4315,14307,"PVD","Providence, RI",11278,"DCA","Washington, DC",843,NULL,NULL,NULL,NULL,NULL,NULL,1034,NULL,NULL,1,"B",0,"N",111,NULL,NULL,1,356,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-04-01","AA","AA_CODESHARE","AA",4786,"PT","N624AE",4786,14100,"PHL","Philadelphia, PA",10135,"ABE","Allentown/Bethlehem/Easton, PA",2105,NULL,NULL,NULL,NULL,NULL,NULL,2149,NULL,NULL,1,"A",0,"N",44,NULL,NULL,1,55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-05-01","AA","AA_CODESHARE","AA",3542,"MQ","N542EA",3542,15096,"SYR","Syracuse, NY",13930,"ORD","Chicago, IL",1811,1808,-3,8,1816,1850,12,1924,1902,-22,0,NULL,0,"N",133,114,94,1,607,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-10-01","AA","AA_CODESHARE","AA",2861,"EV","N716EV",2861,10781,"BTR","Baton Rouge, LA",11298,"DFW","Dallas/Fort Worth, TX",1110,1136,26,10,1146,1247,10,1242,1257,15,0,NULL,0,"N",92,81,61,1,383,0,0,0,0,15,NULL,NULL,NULL,NULL
"2018-01-01","AA","AA_CODESHARE","AA",5477,"OH","N571NN",5477,11057,"CLT","Charlotte, NC",14730,"SDF","Louisville, KY",1950,1947,-3,22,2009,2110,5,2118,2115,-3,0,"",0,"N",88,88,61,1,335,NULL,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL
"2018-11-01","AA","AA","AA",2756,"AA","N824NN",2756,12266,"IAH","Houston, TX",13303,"MIA","Miami, FL",735,732,-3,29,801,1127,8,1110,1135,25,0,NULL,0,"N",155,183,146,1,964,0,0,25,0,0,NULL,NULL,NULL,NULL
"2018-02-01","AA","AA_CODESHARE","AA",3403,"MQ","N693AE",3403,13930,"ORD","Chicago, IL",14633,"RST","Rochester, MN",820,818,-2,56,914,1001,4,931,1005,34,0,NULL,0,"N",71,107,47,1,268,0,0,34,0,0,NULL,NULL,NULL,NULL
"2018-07-01","AA","AA_CODESHARE","AA",4863,"PT","N633AE",4863,14524,"RIC","Richmond, VA",14100,"PHL","Philadelphia, PA",1457,NULL,NULL,NULL,NULL,NULL,NULL,1611,NULL,NULL,1,"A",0,"N",74,NULL,NULL,1,198,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-01-01","AA","AA_CODESHARE","AA",5476,"OH","N503AE",5476,13244,"MEM","Memphis, TN",11278,"DCA","Washington, DC",1819,2056,157,1,2057,2327,10,2119,2337,138,0,"",0,"N",120,101,90,1,762,12,0,0,0,126,"",NULL,NULL,NULL
"2018-09-01","AA","AA_CODESHARE","AA",3764,"MQ","N902BC",3764,11193,"CVG","Cincinnati, OH",13930,"ORD","Chicago, IL",852,NULL,NULL,NULL,NULL,NULL,NULL,920,NULL,NULL,1,"C",0,"N",88,NULL,NULL,1,264,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-04-01","AA","AA_CODESHARE","AA",3325,"MQ","N800AE",3325,15411,"TYR","Tyler, TX",11298,"DFW","Dallas/Fort Worth, TX",1813,1820,7,16,1836,1903,13,1915,1916,1,0,NULL,0,"N",62,56,27,1,102,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-02-01","AA","AA_CODESHARE","AA",3366,"MQ","N233NN",3366,13930,"ORD","Chicago, IL",15016,"STL","St. Louis, MO",1000,954,-6,18,1012,1105,3,1115,1108,-7,0,NULL,0,"N",75,74,53,1,258,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-07-01","AA","AA_CODESHARE","AA",4400,"YX","N136HQ",4400,11433,"DTW","Detroit, MI",14100,"PHL","Philadelphia, PA",702,658,-4,16,714,824,17,844,841,-3,0,NULL,0,"N",102,103,70,1,453,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-08-01","AA","AA_CODESHARE","AA",5038,"OH","N553NN",5038,11057,"CLT","Charlotte, NC",12264,"IAD","Washington, DC",1329,1332,3,13,1345,1443,6,1452,1449,-3,0,NULL,0,"N",83,77,58,1,322,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-05-01","AA","AA_CODESHARE","AA",3541,"MQ","N237NN",3541,11298,"DFW","Dallas/Fort Worth, TX",13851,"OKC","Oklahoma City, OK",1845,1930,45,12,1942,2018,5,1950,2023,33,0,NULL,0,"N",65,53,36,1,175,33,0,0,0,0,"1841.0",20,20,NULL
"2018-10-01","AA","AA_CODESHARE","AA",2860,"EV","N617QX",2860,11057,"CLT","Charlotte, NC",13342,"MKE","Milwaukee, WI",2215,2211,-4,20,2231,2314,5,2322,2319,-3,0,NULL,0,"N",127,128,103,1,651,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-07-01","AA","AA_CODESHARE","AA",4386,"YX","N130HQ",4386,14100,"PHL","Philadelphia, PA",14730,"SDF","Louisville, KY",1514,1513,-1,31,1544,1711,24,1724,1735,11,0,NULL,0,"N",130,142,87,1,576,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-03-02","AA","AA","AA",1648,"AA","N178US",1648,11298,"DFW","Dallas/Fort Worth, TX",10721,"BOS","Boston, MA",1825,NULL,NULL,NULL,NULL,NULL,NULL,2256,NULL,NULL,1,"B",0,"N",211,NULL,NULL,1,1562,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-11-01","AA","AA","AA",2776,"AA","N167AN",2776,12892,"LAX","Los Angeles, CA",13930,"ORD","Chicago, IL",1815,1821,6,15,1836,14,6,17,20,3,0,NULL,0,"N",242,239,218,1,1744,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-03-02","AA","AA","AA",1705,"AA","N554UW",1705,10792,"BUF","Buffalo, NY",11057,"CLT","Charlotte, NC",809,NULL,NULL,NULL,NULL,NULL,NULL,1023,NULL,NULL,1,"B",0,"N",134,NULL,NULL,1,546,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-06-01","AA","AA_CODESHARE","AA",3317,"MQ","N229NN",3317,11298,"DFW","Dallas/Fort Worth, TX",12992,"LIT","Little Rock, AR",2020,2017,-3,24,2041,2142,7,2134,2149,15,0,NULL,0,"N",74,92,61,1,304,0,0,15,0,0,NULL,NULL,NULL,NULL
"2018-12-01","AA","AA_CODESHARE","AA",5015,"OH","N519AE",5015,11267,"DAY","Dayton, OH",14100,"PHL","Philadelphia, PA",554,545,-9,11,556,700,9,735,709,-26,0,NULL,0,"N",101,84,64,1,477,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-11-01","AA","AA","AA",2775,"AA","N935NN",2775,12889,"LAS","Las Vegas, NV",13930,"ORD","Chicago, IL",654,655,1,28,723,1235,16,1240,1251,11,0,NULL,0,"N",226,236,192,1,1514,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-06-01","AA","AA_CODESHARE","AA",3496,"MQ","N234JW",3496,12992,"LIT","Little Rock, AR",11278,"DCA","Washington, DC",720,NULL,NULL,NULL,NULL,NULL,NULL,1050,NULL,NULL,1,"B",0,"N",150,NULL,NULL,1,888,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-03-02","AA","AA","AA",1496,"AA","N973NN",1496,11618,"EWR","Newark, NJ",11298,"DFW","Dallas/Fort Worth, TX",1759,NULL,NULL,NULL,NULL,NULL,NULL,2118,NULL,NULL,1,"B",0,"N",259,NULL,NULL,1,1372,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-09-03","AA","AA_CODESHARE","AA",3755,"MQ","N933JN",3755,11775,"FSD","Sioux Falls, SD",13930,"ORD","Chicago, IL",1941,NULL,NULL,NULL,NULL,NULL,NULL,2125,NULL,NULL,1,"C",0,"N",104,NULL,NULL,1,462,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-07-01","AA","AA_CODESHARE","AA",4888,"PT","N691AE",4888,14704,"SBY","Salisbury, MD",11057,"CLT","Charlotte, NC",707,NULL,NULL,NULL,NULL,NULL,NULL,840,NULL,NULL,1,"A",0,"N",93,NULL,NULL,1,371,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-08-01","AA","AA_CODESHARE","AA",5047,"OH","N559NN",5047,11267,"DAY","Dayton, OH",11057,"CLT","Charlotte, NC",902,927,25,13,940,1050,10,1041,1100,19,0,NULL,0,"N",99,93,70,1,370,19,0,0,0,0,NULL,NULL,NULL,NULL
"2018-03-02","AA","AA","AA",1734,"AA","N104UW",1734,11278,"DCA","Washington, DC",11057,"CLT","Charlotte, NC",645,NULL,NULL,NULL,NULL,NULL,NULL,829,NULL,NULL,1,"B",0,"N",104,NULL,NULL,1,331,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-04-01","AA","AA_CODESHARE","AA",3340,"MQ","N244NN",3340,11298,"DFW","Dallas/Fort Worth, TX",15919,"XNA","Fayetteville, AR",2220,2217,-3,21,2238,2319,5,2326,2324,-2,0,NULL,0,"N",66,67,41,1,280,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-08-01","AA","AA_CODESHARE","AA",5045,"OH","N505AE",5045,13931,"ORF","Norfolk, VA",11057,"CLT","Charlotte, NC",927,1022,55,11,1033,1128,32,1059,1200,61,0,NULL,0,"N",92,98,55,1,290,36,0,6,0,19,NULL,NULL,NULL,NULL
"2018-12-03","AA","AA_CODESHARE","AA",4938,"PT","N620AE",4938,10257,"ALB","Albany, NY",14100,"PHL","Philadelphia, PA",758,NULL,NULL,NULL,NULL,NULL,NULL,913,NULL,NULL,1,"B",0,"N",75,NULL,NULL,1,212,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-12-03","AA","AA_CODESHARE","AA",4812,"PT","N625AE",4812,10785,"BTV","Burlington, VT",14100,"PHL","Philadelphia, PA",1515,NULL,NULL,NULL,NULL,NULL,NULL,1654,NULL,NULL,1,"B",0,"N",99,NULL,NULL,1,335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-08-01","AA","AA_CODESHARE","AA",5045,"OH","N505AE",5045,11057,"CLT","Charlotte, NC",13931,"ORF","Norfolk, VA",745,745,0,38,823,913,3,857,916,19,0,NULL,0,"N",72,91,50,1,290,0,0,19,0,0,NULL,NULL,NULL,NULL
"2018-08-01","AA","AA_CODESHARE","AA",5046,"OH","N213PS",5046,15412,"TYS","Knoxville, TN",11278,"DCA","Washington, DC",1829,2040,131,11,2051,2210,5,2000,2215,135,0,NULL,0,"N",91,95,79,1,437,8,0,4,0,123,NULL,NULL,NULL,NULL
"2018-05-01","AA","AA_CODESHARE","AA",3541,"MQ","N237NN",3541,13851,"OKC","Oklahoma City, OK",11298,"DFW","Dallas/Fort Worth, TX",2026,2048,22,11,2059,2136,13,2130,2149,19,0,NULL,0,"N",64,61,37,1,175,0,0,0,0,19,NULL,NULL,NULL,NULL
"2018-10-01","AA","AA","AA",2006,"AA","N828AW",2006,11433,"DTW","Detroit, MI",14100,"PHL","Philadelphia, PA",801,748,-13,15,803,910,3,940,913,-27,0,NULL,0,"N",99,85,67,1,453,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-11-01","AA","AA","AA",2778,"AA","N980TW",2778,13244,"MEM","Memphis, TN",11298,"DFW","Dallas/Fort Worth, TX",737,732,-5,19,751,911,15,930,926,-4,0,NULL,0,"N",113,114,80,1,431,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-12-01","AA","AA_CODESHARE","AA",4541,"YX","N443YX",4541,14100,"PHL","Philadelphia, PA",13871,"OMA","Omaha, NE",807,NULL,NULL,NULL,NULL,NULL,NULL,1028,NULL,NULL,1,"B",0,"N",201,NULL,NULL,1,1088,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-04-01","AA","AA_CODESHARE","AA",3341,"MQ","N653AE",3341,11423,"DSM","Des Moines, IA",13930,"ORD","Chicago, IL",934,924,-10,26,950,1047,12,1053,1059,6,0,NULL,0,"N",79,95,57,1,299,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-09-03","AA","AA","AA",114,"AA","N800NN",114,12953,"LGA","New York, NY",13930,"ORD","Chicago, IL",1430,1436,6,NULL,NULL,NULL,NULL,1607,NULL,NULL,1,"B",0,"N",157,NULL,NULL,1,733,NULL,NULL,NULL,NULL,NULL,"1436.0",143,143,NULL
"2018-02-01","AA","AA_CODESHARE","AA",3365,"MQ","N531EG",3365,10792,"BUF","Buffalo, NY",13930,"ORD","Chicago, IL",1149,1141,-8,22,1203,1231,16,1245,1247,2,0,NULL,0,"N",116,126,88,1,474,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-01-01","AA","AA_CODESHARE","AA",5496,"OH","N720PS",5496,11278,"DCA","Washington, DC",13296,"MHT","Manchester, NH",2215,2219,4,14,2233,2339,2,2340,2341,1,0,"",0,"N",85,82,66,1,406,NULL,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL
"2018-03-02","AA","AA","AA",1495,"AA","N309PC",1495,13930,"ORD","Chicago, IL",11278,"DCA","Washington, DC",655,NULL,NULL,NULL,NULL,NULL,NULL,944,NULL,NULL,1,"B",0,"N",109,NULL,NULL,1,612,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-01-01","AA","AA_CODESHARE","AA",5479,"OH","N220PS",5479,11057,"CLT","Charlotte, NC",15295,"TOL","Toledo, OH",1135,1155,20,41,1236,1403,3,1322,1406,44,0,"",0,"N",107,131,87,1,466,20,0,24,0,0,"",NULL,NULL,NULL
